Amenity Type,Latitude,Longitude,Google Maps Link
Unknown,17.527605,78.51377,https://www.google.com/maps?q=17.527605,78.51377
Unknown,30.47093,76.56743,https://www.google.com/maps?q=30.47093,76.56743
Unknown,26.759226,83.3853,https://www.google.com/maps?q=26.759226,83.3853
Unknown,26.75913,83.38527,https://www.google.com/maps?q=26.75913,83.38527
Unknown,26.760742,83.378716,https://www.google.com/maps?q=26.760742,83.378716
Unknown,26.759819,83.38501,https://www.google.com/maps?q=26.759819,83.38501
Unknown,26.759897,83.38504,https://www.google.com/maps?q=26.759897,83.38504
Unknown,26.75997,83.38506,https://www.google.com/maps?q=26.75997,83.38506
Unknown,26.761095,83.37755,https://www.google.com/maps?q=26.761095,83.37755
Unknown,26.76114,83.377556,https://www.google.com/maps?q=26.76114,83.377556
Unknown,26.761608,83.37809,https://www.google.com/maps?q=26.761608,83.37809
Unknown,26.761675,83.37813,https://www.google.com/maps?q=26.761675,83.37813
Unknown,12.9707,77.701614,https://www.google.com/maps?q=12.9707,77.701614
Unknown,26.751406,94.219505,https://www.google.com/maps?q=26.751406,94.219505
Unknown,23.851553,72.132164,https://www.google.com/maps?q=23.851553,72.132164
Unknown,17.435497,78.46411,https://www.google.com/maps?q=17.435497,78.46411
Unknown,17.435518,78.464165,https://www.google.com/maps?q=17.435518,78.464165
Unknown,22.57468,88.02127,https://www.google.com/maps?q=22.57468,88.02127
Unknown,16.765533,78.14498,https://www.google.com/maps?q=16.765533,78.14498
Unknown,25.399914,87.199005,https://www.google.com/maps?q=25.399914,87.199005
Unknown,26.23367,91.924644,https://www.google.com/maps?q=26.23367,91.924644
Unknown,26.233767,91.92466,https://www.google.com/maps?q=26.233767,91.92466
Unknown,26.513662,89.53189,https://www.google.com/maps?q=26.513662,89.53189
Unknown,26.51366,89.531944,https://www.google.com/maps?q=26.51366,89.531944
Unknown,23.78972,86.43166,https://www.google.com/maps?q=23.78972,86.43166
Unknown,30.548126,76.8209,https://www.google.com/maps?q=30.548126,76.8209
Unknown,30.56072,76.82634,https://www.google.com/maps?q=30.56072,76.82634
Unknown,22.52522,88.18321,https://www.google.com/maps?q=22.52522,88.18321
Unknown,22.525244,88.18317,https://www.google.com/maps?q=22.525244,88.18317
Unknown,22.525276,88.18313,https://www.google.com/maps?q=22.525276,88.18313
Unknown,22.574734,88.02126,https://www.google.com/maps?q=22.574734,88.02126
Unknown,22.574844,88.02125,https://www.google.com/maps?q=22.574844,88.02125
Unknown,22.76983,88.54187,https://www.google.com/maps?q=22.76983,88.54187
Unknown,22.509207,88.36031,https://www.google.com/maps?q=22.509207,88.36031
Unknown,23.63895,72.06575,https://www.google.com/maps?q=23.63895,72.06575
