Hospital,School,Toll Gate,Railway Crossing,Traffic Signal,Bus Stop,Latitude,Longitude,Google Maps Link
No,No,No,No,No,No,13.069269,80.20062,https://www.google.com/maps?q=13.069269,80.20062
No,No,No,No,No,No,13.068119,80.20493,https://www.google.com/maps?q=13.068119,80.20493
No,No,No,No,No,No,13.069491,80.124306,https://www.google.com/maps?q=13.069491,80.124306
No,No,No,No,No,No,12.973831,80.203354,https://www.google.com/maps?q=12.973831,80.203354
No,No,No,No,No,No,13.057489,80.204155,https://www.google.com/maps?q=13.057489,80.204155
No,No,No,No,No,No,13.048023,80.25409,https://www.google.com/maps?q=13.048023,80.25409
No,No,No,No,No,No,13.036885,80.26704,https://www.google.com/maps?q=13.036885,80.26704
No,No,No,No,No,No,13.037429,80.26464,https://www.google.com/maps?q=13.037429,80.26464
No,No,No,No,No,No,13.047092,80.23291,https://www.google.com/maps?q=13.047092,80.23291
No,No,No,No,No,No,13.047736,80.23304,https://www.google.com/maps?q=13.047736,80.23304
No,No,No,No,No,No,13.026451,80.264175,https://www.google.com/maps?q=13.026451,80.264175
No,No,No,No,No,No,13.025139,80.265175,https://www.google.com/maps?q=13.025139,80.265175
No,No,No,No,No,No,13.033843,80.26785,https://www.google.com/maps?q=13.033843,80.26785
No,No,No,No,No,No,13.033927,80.26805,https://www.google.com/maps?q=13.033927,80.26805
No,No,No,No,No,No,13.036997,80.26659,https://www.google.com/maps?q=13.036997,80.26659
No,No,No,No,No,No,13.049001,80.19238,https://www.google.com/maps?q=13.049001,80.19238
No,No,No,No,No,No,13.039795,80.26355,https://www.google.com/maps?q=13.039795,80.26355
No,No,No,No,No,No,13.035202,80.27044,https://www.google.com/maps?q=13.035202,80.27044
No,No,No,No,No,No,13.054687,80.2642,https://www.google.com/maps?q=13.054687,80.2642
No,No,No,No,No,No,13.054653,80.26443,https://www.google.com/maps?q=13.054653,80.26443
No,No,No,No,No,No,13.064349,80.28217,https://www.google.com/maps?q=13.064349,80.28217
No,No,No,No,No,No,13.065653,80.28373,https://www.google.com/maps?q=13.065653,80.28373
No,No,No,No,No,No,13.0645075,80.282036,https://www.google.com/maps?q=13.0645075,80.282036
No,No,No,No,No,No,13.064525,80.283745,https://www.google.com/maps?q=13.064525,80.283745
No,No,No,No,No,No,12.827029,80.04169,https://www.google.com/maps?q=12.827029,80.04169
No,No,No,No,No,No,13.070016,80.24203,https://www.google.com/maps?q=13.070016,80.24203
No,No,No,No,No,No,13.070484,80.24212,https://www.google.com/maps?q=13.070484,80.24212
No,No,No,No,No,No,13.037528,80.26776,https://www.google.com/maps?q=13.037528,80.26776
No,No,No,No,No,No,13.037846,80.26759,https://www.google.com/maps?q=13.037846,80.26759
No,No,No,No,No,No,13.000798,80.26729,https://www.google.com/maps?q=13.000798,80.26729
No,No,No,No,No,No,12.996087,80.26767,https://www.google.com/maps?q=12.996087,80.26767
No,No,No,No,No,No,13.029322,80.26614,https://www.google.com/maps?q=13.029322,80.26614
No,No,No,No,No,No,13.028828,80.26385,https://www.google.com/maps?q=13.028828,80.26385
No,No,No,No,No,No,13.027196,80.26624,https://www.google.com/maps?q=13.027196,80.26624
No,No,No,No,No,No,13.024863,80.26514,https://www.google.com/maps?q=13.024863,80.26514
No,No,No,No,No,No,13.04148,80.25869,https://www.google.com/maps?q=13.04148,80.25869
No,No,No,No,No,No,13.04171,80.25907,https://www.google.com/maps?q=13.04171,80.25907
No,No,No,No,No,No,13.037484,80.256165,https://www.google.com/maps?q=13.037484,80.256165
No,No,No,No,No,No,12.925416,80.116936,https://www.google.com/maps?q=12.925416,80.116936
No,No,No,No,No,No,12.965245,80.206985,https://www.google.com/maps?q=12.965245,80.206985
No,No,No,No,No,No,12.984511,79.975044,https://www.google.com/maps?q=12.984511,79.975044
No,No,No,No,No,No,12.98462,79.974785,https://www.google.com/maps?q=12.98462,79.974785
No,No,No,No,No,No,10.831193,78.69304,https://www.google.com/maps?q=10.831193,78.69304
No,No,No,No,No,No,13.054502,80.20397,https://www.google.com/maps?q=13.054502,80.20397
No,No,No,No,No,No,13.054439,80.20423,https://www.google.com/maps?q=13.054439,80.20423
No,No,No,No,No,No,13.054623,80.20132,https://www.google.com/maps?q=13.054623,80.20132
No,No,No,No,No,No,11.269689,77.1719,https://www.google.com/maps?q=11.269689,77.1719
No,No,No,No,No,No,12.619054,79.82844,https://www.google.com/maps?q=12.619054,79.82844
No,No,No,No,No,No,12.630606,79.93014,https://www.google.com/maps?q=12.630606,79.93014
No,No,No,No,No,No,12.653972,79.94129,https://www.google.com/maps?q=12.653972,79.94129
No,No,No,No,No,No,10.998494,77.019455,https://www.google.com/maps?q=10.998494,77.019455
No,No,No,No,No,No,10.997449,77.01051,https://www.google.com/maps?q=10.997449,77.01051
No,No,No,No,No,No,11.024037,76.95906,https://www.google.com/maps?q=11.024037,76.95906
No,No,No,No,No,No,11.398124,76.71745,https://www.google.com/maps?q=11.398124,76.71745
No,No,No,No,No,No,11.28821,76.94235,https://www.google.com/maps?q=11.28821,76.94235
